subid,xd,xv,choice,cond,choice_category,trial
1512105,7,5,2,1,2,49
1512105,12,0,2,2,2,50
1512105,10,2,4,2,3,51
1512105,12,0,4,1,3,52
1512105,10,2,4,1,3,53
1512105,11,1,2,2,2,54
1512105,12,0,6,1,4,55
1512105,11,1,6,1,4,56
1512105,12,0,6,2,4,57
1512105,6,6,0,2,1,58
1512105,7,5,0,2,1,59
1512105,12,0,4,2,3,60
1512105,12,0,4,1,3,61
1512105,7,5,0,2,1,62
1512105,6,6,0,2,1,63
1512105,10,2,4,1,3,64
1512105,7,5,0,2,1,65
1512105,10,2,2,2,2,66
1512105,6,6,0,1,1,67
1512105,12,0,6,2,4,68
1512105,7,5,0,1,1,69
1512105,10,2,2,2,2,70
1512105,6,6,0,1,1,71
1512105,6,6,0,2,1,72
1512105,6,6,0,1,1,73
1512105,10,2,2,1,2,74
1512105,12,0,4,1,3,75
1512105,11,1,4,2,3,76
1512105,7,5,0,2,1,77
1512105,7,5,0,1,1,78
1512105,7,5,0,1,1,79
1512105,6,6,0,1,1,80
1512106,10,2,4,2,3,1
1512106,11,1,4,1,3,2
1512106,11,1,4,2,3,3
1512106,12,0,4,2,3,4
1512106,11,1,4,1,3,5
1512106,6,6,0,1,1,6
1512106,7,5,0,2,1,7
1512106,6,6,0,2,1,8
1512106,10,2,2,2,2,9
1512106,7,5,0,2,1,10
1512106,6,6,0,2,1,11
1512106,12,0,4,1,3,12
1512106,7,5,0,1,1,13
1512106,10,2,4,1,3,14
1512106,7,5,0,1,1,15
1512106,7,5,2,2,2,16
1512106,12,0,4,1,3,17
1512106,12,0,4,2,3,18
1512106,12,0,4,1,3,19
1512106,7,5,2,2,2,20
1512106,6,6,0,2,1,21
1512106,12,0,6,2,4,22
1512106,11,1,4,2,3,23
1512106,11,1,4,2,3,24
1512106,7,5,0,2,1,25
1512106,6,6,2,2,2,26
1512106,6,6,0,1,1,27
1512106,10,2,2,1,2,28
1512106,6,6,0,2,1,29
1512106,6,6,0,1,1,30
1512106,7,5,0,1,1,31
1512106,12,0,4,2,3,32
1512106,6,6,0,1,1,33
1512106,10,2,0,1,1,34
1512106,6,6,0,1,1,35
1512106,11,1,4,1,3,36
1512106,12,0,4,1,3,37
1512106,10,2,2,2,2,38
1512106,7,5,0,1,1,39
1512106,7,5,0,1,1,40
1512106,7,5,0,1,1,41
1512106,11,1,2,1,2,42
1512106,6,6,0,2,1,43
1512106,11,1,4,2,3,44
1512106,12,0,6,2,4,45
1512106,11,1,2,1,2,46
1512106,10,2,4,2,3,47
1512106,12,0,4,1,3,48
1512106,6,6,0,1,1,49
1512106,11,1,4,2,3,50
1512106,7,5,0,1,1,51
1512106,12,0,6,2,4,52
1512106,7,5,0,2,1,53
1512106,6,6,0,2,1,54
1512106,10,2,2,1,2,55
1512106,12,0,4,1,3,56
1512106,11,1,4,1,3,57
1512106,6,6,0,1,1,58
1512106,12,0,6,2,4,59
1512106,12,0,6,1,4,60
1512106,6,6,0,2,1,61
1512106,7,5,0,1,1,62
1512106,10,2,4,2,3,63
1512106,7,5,0,2,1,64
1512106,6,6,0,1,1,65
1512106,6,6,0,1,1,66
1512106,12,0,6,2,4,67
1512106,7,5,0,2,1,68
1512106,10,2,2,1,2,69
1512106,10,2,4,2,3,70
1512106,6,6,0,2,1,71
1512106,7,5,0,1,1,72
1512106,7,5,0,1,1,73
1512106,7,5,0,2,1,74
1512106,6,6,0,2,1,75
1512106,10,2,2,1,2,76
1512106,7,5,0,2,1,77
1512106,12,0,4,1,3,78
1512106,11,1,6,2,4,79
1512106,6,6,0,1,1,80
15121107,6,6,0,2,1,1
15121107,11,1,2,2,2,2
15121107,7,5,0,2,1,3
15121107,7,5,0,1,1,4
15121107,12,0,4,2,3,5
15121107,6,6,0,2,1,6
15121107,11,1,4,1,3,7
15121107,6,6,0,1,1,8
15121107,10,2,2,2,2,9
15121107,11,1,4,1,3,10
15121107,11,1,2,2,2,11
15121107,12,0,4,1,3,12
15121107,12,0,2,2,2,13
15121107,10,2,4,1,3,14
15121107,12,0,4,2,3,15
15121107,6,6,0,2,1,16
15121107,7,5,0,1,1,17
15121107,7,5,0,2,1,18
15121107,6,6,0,1,1,19
