"subjid","alpha","omega_a","omega_i","tau"
1512101,0.59421526869092,2.44310470441322,0.477965555797521,1.65428674378813
1512104,0.751589477666911,11.2147032538046,0.564846181721346,2.20199831064585
1512105,1.06697321739806,2.79623481716372,3.56962886123403,1.0393030563376
1512106,0.898600580497565,2.47785870337829,0.436547785971135,2.46599964741808
15121107,0.778167548093252,3.11910309346481,4.40483760206201,2.81539408032519
1512108,0.402891543241906,5.38509516281969,1.44479783921576,3.00090955818924
1512110,0.948753900487854,4.29958721689942,3.34496276365589,1.90858988656436
1512111,0.508810800409386,7.21372354028802,3.92544265891017,2.86239634518785
1512113,1.03375562407371,4.47057013935149,4.185585967048,3.23287939884435
1512114,0.843732594572693,9.4492684764438,8.71117469100284,3.14024062683263
1512115,0.614132273692102,1.81169483985585,0.63272842813641,2.24130038467682
1512116,0.971230786161033,5.62584893034019,1.94901846721202,3.04859343198245
1512201,0.621978642843319,5.5007465899189,4.76921568098675,2.73751601681248
1512202,0.897252622751482,11.2143069969316,8.19858035196121,3.33617282910507
1512203,0.951200585312085,8.33666601985801,9.04503032377456,3.2339353484367
1512204,0.808020616962393,0.77926131443296,2.10625571011467,2.25491585814366
15121205,0.440705132176604,0.905225711328671,0.393465021103459,2.10705554018892
15121206,1.04711384831486,8.90681215280074,7.95756031247234,3.40007167002306
15121207,1.29899714987433,5.1651608498059,4.83373315696876,2.28274440643708
1512208,0.968353752213088,7.60515329963633,7.83563431851451,3.11854094149599
1512209,0.572393968993159,1.00105881186788,0.740945618105664,2.20111953608445
1512210,0.514430470625056,1.16861366703354,0.36002275446299,2.44085036118699
1512211,0.788783742313253,0.727399947285852,1.12591681759836,2.81902804409595
1512212,0.964264334343628,5.71625051171781,5.82481790041719,3.01750423915297
1512213,0.683830274424204,1.01260500941185,1.14214972112804,2.95772109492512
1512215,1.64303668488021,0.132088411438401,0.331072917271989,3.31956660499772
1512216,0.61712696519407,9.15058009733833,0.291939405616487,1.52687732852723
