"subjid","alpha","omega_a","omega_i","tau"
1512101,0.553087304856495,3.0339225503641,0.327030784746087,2.23198144676954
1512104,0.670186358753953,10.2992663795056,0.384506584331458,2.49299992793624
1512105,0.776534314715653,1.19500206427187,2.19581247165532,1.41193349822589
1512106,0.741887001059299,2.67653058574049,0.406197183500953,2.6020585815608
15121107,0.88951133689498,2.8046347769121,4.6269772369629,3.40494767323294
1512108,0.362651518805261,2.27951752723144,2.1205241468032,3.60863056049613
1512110,0.746880098430308,3.73867650710058,2.42852952446841,2.36276954941802
1512111,0.493230917170589,5.39533299925687,2.71818679457559,2.95295100013224
1512113,1.02658839936732,4.79682515631811,4.3840680066022,4.12995568537654
1512114,0.911330676572206,9.45512403118537,8.6047814586333,3.88459988214052
1512115,0.770174579505472,2.41003974388473,1.12103901601574,1.3849674370915
1512116,0.955469052570246,5.96796402248197,1.12944293137503,2.25038528130328
1512201,0.615445435623274,6.08914214119277,4.64899327039225,2.33497327314606
1512202,0.850448321961556,10.3800866674084,8.10961122640414,3.46125771887366
1512203,0.97281066476001,8.31379201089211,8.73195156641333,4.00177818370144
1512204,0.701829286991279,0.977510854985593,1.7329472121494,2.63100660690057
15121205,0.479009042414147,2.60896956566482,0.823356378034612,1.72569496258875
15121206,0.961414589283844,8.72974975114688,7.79320014088346,3.91295218515462
15121207,1.01768925079643,4.77782659153142,4.36876751768535,4.12575719899261
1512208,0.776694277754665,7.76528610785091,7.09099544966693,3.19082380876095
1512209,0.652613994526481,1.03847712097968,0.347429711978755,1.5080431524921
1512210,0.524552394561579,2.96170975356622,0.971899895967094,1.53969996761579
1512211,0.798637063232078,0.404164085627239,0.864702781284555,2.41342268399982
1512212,0.911085708287985,5.48288130201465,5.4801220300457,3.37624104016976
1512213,0.66000854355124,0.658983972024255,0.383116857808927,3.68715292179141
1512215,1.60909431993334,0.268402172648296,0.111130485566558,4.00487206927883
1512216,0.698747502779737,8.07997118779604,0.311472285134117,1.36320620284742
