"subjid","alpha","omega_a","omega_i","tau"
1512101,0.52205758984585,0.926950245897665,1.28706107533942,2.33366179628224
1512104,0.736493531620976,10.6543242736795,0.432620690668287,2.07819464301825
1512105,1.00346430386358,1.85030029498346,3.64152245173389,1.14550078849217
1512106,0.769730062738564,3.13670641495467,0.645177635768833,2.29605161862582
15121107,0.99268153021138,3.86213354692974,5.24466264075549,3.53529617866826
1512108,0.417094052628279,2.36902585247235,3.56243468271145,3.33687151861211
1512110,0.834083263866885,4.38810543714127,3.19630028004391,1.72491330647493
1512111,0.540222591565687,6.75111971187964,4.6049750099704,1.96911259773969
1512113,1.22109161662931,5.09406202370526,5.09203399811918,4.50708082336944
1512114,0.759850585868494,9.11314838082096,8.64528063154817,3.44809846388471
1512115,0.784125866359639,2.154782459657,0.470695001793767,1.23255956990536
1512116,0.975170816678547,5.94648181439839,1.73976006508483,3.36038059895272
1512201,0.696175190882501,6.07994327189389,5.04224428532202,3.36233693035509
1512202,0.979108483164928,11.1792354169129,8.7160475804606,4.31097800182495
1512203,1.01630498933117,8.79981171620582,9.20316224318538,4.03090837490736
1512204,0.932559809148291,1.58323470104657,2.08511749374932,1.97728924475921
15121205,0.484855854690007,1.16232470342302,3.51431856814494,3.13270200933036
15121206,1.03964058986053,8.87270126760385,8.13585993262144,3.9549222604847
15121207,1.23164176505407,5.10616402799178,5.10288783398411,4.51469770679134
1512208,1.28965275627382,8.60327730470447,7.51863117789066,2.16401358206202
1512209,0.619452608592008,1.4306113383372,0.771871779670493,1.77469152145699
1512210,0.49614967906953,0.314322839750712,0.523228195104687,1.77523597568677
1512211,0.798432602012653,1.03028745554869,1.15232629627573,2.76239840703424
1512212,0.962965290470182,5.59858124012182,5.91262613479977,3.3652117606689
1512213,0.693230479298922,0.918192552113081,0.401204861638134,2.56969408159754
1512215,1.69995963809029,0.160805096067499,0.304567007403657,3.93357888866537
1512216,0.806732725911248,7.86458754128537,1.08275687145535,1.26008186485957
