"subjid","alpha","omega_a","omega_i","tau"
1512101,0.506971040334633,1.98543124208582,0.207033802570081,3.60010646377685
1512104,0.633137184788489,10.8078425140193,0.296924164137614,4.09803036817662
1512105,0.733670234587464,1.142889748257,1.4474859278298,1.15736553225871
1512106,0.821199935180324,3.55233770160166,0.50232625310561,1.83935296910243
15121107,0.876571490515318,3.35912187226837,4.80183735644588,2.99684695603169
1512108,0.349467141164367,3.45297309761386,1.78169199307039,2.614122141337
1512110,0.702418263829651,3.39713640133177,2.79659243531662,2.31985221127731
1512111,0.54172031993329,6.3172482322932,4.36937987872482,3.46762887743918
1512113,1.05331985657816,4.3966649931276,4.83093327125678,4.43595861469123
1512114,0.89212349998386,9.62040805292687,8.81882209254216,2.44360653072532
1512115,0.673715583274942,1.16440889819845,1.26428483813295,1.37967873884771
1512116,0.932850508732311,5.74756860229187,1.73908794645895,3.64833386822813
1512201,0.843585454859569,6.26639750792,6.12086589246354,2.19221571376962
1512202,0.937199985265782,11.1197225186094,8.64576992404505,4.60259961408117
1512203,1.0108272249991,8.33567908921086,8.81530161550258,4.2921140296384
1512204,0.727703608442693,1.06046744651137,1.3191938501895,3.36112381407029
15121205,0.516264810380194,1.37630841934241,0.538479644824413,2.43670768935965
15121206,1.0045913395258,8.81240845065684,7.85794195045244,4.18418796766238
15121207,1.15045031081248,4.99919095507624,4.98727933310272,4.8648687877542
1512208,0.946377085855002,7.54221981840245,7.53480666450369,3.73998651675924
1512209,0.640835572811923,2.5709942774914,0.37468494652675,2.3253742618564
1512210,0.573589916200147,0.75371875141239,1.83309116543224,1.07384960789015
1512211,0.886304331082438,0.697716253892438,1.26384704404295,2.47993045044852
1512212,0.929100041377373,5.63666713593055,5.51509081943703,3.54966067938865
1512213,0.759661455576228,1.19030796664596,1.75769480978008,2.64647476574307
1512215,1.77624646025472,0.201414443695608,0.162749066301607,4.60691840119782
1512216,0.858113555052006,7.97345672925997,0.596072738997558,1.34614156390138
