"subjid","alpha","omega_a","omega_i","tau"
1512101,0.593444880905438,5.18219190329634,3.03857211201971,1.10902448065972
1512104,0.770071167031276,9.85538021640432,0.309997387645796,3.54332706642346
1512105,1.34970600410917,2.95596794496427,3.78793298198022,1.11185938879991
1512106,0.839437653616159,2.64445725192687,0.478877758439045,1.95638798623807
15121107,0.982926608935665,3.62734776490531,5.5545921844397,3.94054297797461
1512108,0.431669165541874,3.8802242792685,6.82765934453417,3.81293763142928
1512110,0.861104873199258,4.69773260274778,3.44303159922197,1.84514284724826
1512111,0.504088733294755,5.90279966657009,5.84379064545005,4.28198312050107
1512113,1.21127689569069,5.07441571428721,5.06194626835133,5.4096563600178
1512114,0.984515454341222,10.1163501449461,8.72417421184556,4.55813470312921
1512115,0.795810419928203,2.26297418443151,1.00504571832712,1.02509512628102
1512116,0.974083875366769,5.73700704919572,1.92208731808746,3.81076851419536
1512201,0.772930379867317,6.3948656243268,6.21715190298833,1.97139361193036
1512202,0.970299238806153,11.0540339597193,8.68602015908903,5.18960230269895
1512203,1.15026915884933,9.01033930366988,9.01338343579382,5.28126004548491
1512204,0.784203854995363,0.596051982142775,2.05690990265797,2.90310057668138
15121205,0.491391305952822,3.16371198952845,2.80476491572861,1.33699764582673
15121206,1.03615053727611,8.85556074281928,7.70423423222777,4.64218381211078
15121207,1.20397300242626,5.057363331851,5.0525116608358,5.40352696152466
1512208,0.973459579718114,7.31938465543178,7.80161927706353,4.10524784517237
1512209,0.629433463525381,1.51744153777292,0.736002692459715,1.46893490166506
1512210,0.62178325647121,3.22676887180248,1.944049937539,1.18641796073474
1512211,0.954991903734067,1.01950825313191,0.995186006368289,3.36087818736316
1512212,0.959915715336975,5.69376719377686,5.78727579581851,3.75648692130105
1512213,0.730615155845222,0.450150424058887,0.78353164342941,2.39601250092269
1512215,1.87499322356916,0.260900506729218,0.236012975162717,5.15490220285592
1512216,0.627629062341821,7.49460577262002,0.778875172935041,2.00125453013462
