"subjid","alpha","omega_a","omega_i","tau"
1512101,0.541986387172348,2.26561459534318,1.89191879757081,1.70022080826649
1512104,0.614065985216837,10.796333035601,0.321534037366686,3.89228369735426
1512105,0.948814704531729,2.34534674256977,2.76548844366055,1.00839765015579
1512106,0.740013612593564,2.34506637254902,0.535925487573066,2.24991098030302
15121107,1.03778828162953,3.93178013955413,4.80320279739976,4.24446570569243
1512108,0.404526088652823,2.19456638344161,2.84847431909713,3.57820512823036
1512110,0.741604789945636,3.79837321515589,3.1013461532447,2.06921244525371
1512111,0.516231945098338,6.39514616415664,5.52239598492669,1.94349398435763
1512113,1.04778344757329,4.40156460439642,4.82020984993089,4.35309157115584
1512114,0.835260223529407,9.32672586674846,8.37563514162897,2.98206346351152
1512115,0.742201831388772,2.88943614665872,1.65019517049115,1.47247887551291
1512116,0.932366085007273,5.42303066901248,1.53732675298301,3.62962281245505
1512201,0.575340169310735,6.23174189822027,4.32497521667014,3.59771165296645
1512202,0.927652011889248,11.1246680565828,8.61830410992522,4.48389206707418
1512203,1.08437387932888,8.94557245959033,8.9228257508333,4.61044459795184
1512204,0.829878462541015,1.10906055528963,1.4075782450208,2.34180479887387
15121205,0.465592713424203,0.48542998120396,0.748407665673131,2.10850475509587
15121206,0.990542853529535,8.78235701050217,8.04650559429525,4.11815981087834
15121207,1.05014611668121,4.8349516104977,4.40629297879101,4.32851215887852
1512208,0.919229032822578,7.74841612609814,7.84380207333327,2.64438266289257
1512209,0.608317967826756,1.28208336061941,0.33106039775085,1.71682675118979
1512210,0.507418700381885,1.59704311567881,0.295685904006005,2.20894206739132
1512211,0.902549124699321,0.564085877113162,1.47455771148922,3.0530093273158
1512212,0.92365351911817,5.39225618949242,5.83151792467996,3.55766326218399
1512213,0.673064567881872,0.952711832037324,0.538392497333881,2.88748155481923
1512215,1.6300626102817,0.146653146560273,0.263392851552727,4.16107092279282
1512216,0.620585062694547,8.01000429833912,1.18607515455695,1.73416622658176
