"subjid","alpha","omega_a","omega_i","tau"
1512101,0.55110827680641,0.718640087660814,1.24342594006972,1.49848790100535
1512104,0.66060702446512,11.0448713408028,0.72368119282171,2.9494417849143
1512105,0.881917753137361,1.56357868137688,2.55638882711637,1.11150923015717
1512106,0.86183522625413,3.13891265238924,0.206694608126526,2.55811266708146
15121107,0.734672618720399,2.93869391736821,4.01741162398932,3.41608096698048
1512108,0.393418531481362,5.87201330280474,1.35736660104637,2.32313185452184
1512110,0.671889855184527,4.11003647312356,2.57542195162496,2.75721350121793
1512111,0.446414193432181,4.25341942187307,2.59125306481063,3.46312159648293
1512113,0.98967540591738,4.05456620469928,4.72199850442005,4.42030148396408
1512114,0.852783691977168,9.74550885700601,8.08898468644849,3.67485065637503
1512115,0.690396177409518,1.18220858487384,1.07364801617201,1.40880546151965
1512116,0.903937669705262,5.69477995452228,1.57800077972245,3.66059577682942
1512201,0.629606895165719,5.85661320550539,5.03235736336866,3.42118025596511
1512202,0.890098678977931,11.132443881681,8.56158271533861,4.64686781755933
1512203,0.921836163363077,8.6318147363358,9.01667483116709,4.39724436901245
1512204,0.957638210428924,1.56821794446398,1.99120646540411,2.62868872915556
15121205,0.492872357788176,2.54289632045446,1.01939108727631,2.24716123572929
15121206,0.919135502168175,8.22840590438291,7.20343189583399,3.97835518535306
15121207,0.997521346945097,4.32118140526729,4.7294513428598,4.49115644531587
1512208,0.968425183318,7.31968078802825,8.73592861276595,4.42312096887734
1512209,0.60234825097612,1.42033258275143,0.255500245869677,2.38267891743152
1512210,0.471720335506068,0.429112929817661,0.573285734318711,1.2853383129047
1512211,0.735189835138246,0.316803780474764,1.08797023936924,2.84423740255398
1512212,0.908938981435584,5.48028250924927,5.80867079662554,3.60425647546086
1512213,0.696494556952536,1.18485249226597,0.663767950823447,3.6545295257551
1512215,1.52336636057931,0.108230551117926,0.292160928311443,4.26115065715397
1512216,0.709003096897251,8.6764082938588,0.571715327008636,1.35298393346145
