"subjid","alpha","omega_a","omega_i","tau"
1512101,0.550932705967758,1.39474373374555,0.742628302333653,1.87247707098379
1512104,0.709971789670971,11.1495837990593,0.558377592689012,2.12416968469172
1512105,0.873143224379658,2.21355063868413,1.93900829348376,1.39018521224155
1512106,1.2502219722574,3.78127579034559,1.67795609452109,1.88969906557877
15121107,1.06126125243022,4.20833620328128,5.16364840416336,3.45305860471209
1512108,0.334716412640617,2.3995701601768,2.86509480820406,3.35553816765503
1512110,0.772968614963127,4.16079745360083,3.79370604445361,2.83487448432838
1512111,0.605227660932941,8.69427398623339,5.05426370449224,2.00654789140826
1512113,1.21118380388036,4.63791806904362,5.05296202495351,3.82477015766303
1512114,1.07961338448821,9.76831886973952,8.88369550849032,3.64666890930027
1512115,0.626907476105904,0.968685815153484,1.11575846820923,2.1480425169079
1512116,1.01717743385774,5.69640416495311,1.9038654247004,3.19893803743926
1512201,0.664336458175883,6.30341382695458,4.90985738387983,2.23875167626239
1512202,1.14040864801248,11.3954684996837,8.97087289327733,2.71196698651235
1512203,1.1478748185662,8.57136604961979,9.00791266569075,3.69713182637536
1512204,0.878540981878689,1.53918576487924,2.23409217152849,2.11227210523975
15121205,0.455017960333618,1.56983196281806,1.51296699581285,3.28491088923664
15121206,1.12542624209725,8.99235580481988,8.25450074221788,3.67918930941616
15121207,1.37178958343923,5.25544973690442,5.24863645676873,4.11344452197073
1512208,0.962193888566429,7.62742194306219,7.80392393731608,2.5909801962385
1512209,0.84937752128835,3.75477954101692,0.504116691581088,1.33396704543728
1512210,0.551814671495164,1.31124245174444,0.789773720584839,1.47690212982243
1512211,0.795244471790521,1.02594039812368,0.732951781250008,2.91690099666891
1512212,1.01591840538597,5.68471252821878,6.11013650747935,3.18632272337258
1512213,0.729598563431889,0.663207732864718,0.780314094920325,2.91718660206012
1512215,2.01099964214761,0.234962524456122,0.229459342209645,3.87554957683069
1512216,0.77241262231524,8.01303483612329,0.699469779932425,1.20027529072905
