"subjid","alpha","omega_a","omega_i","tau"
1512101,0.51937872141115,0.995253399919547,1.02834846854114,2.95564938644279
1512104,0.909551571275495,11.4169213695866,1.35755736519837,1.54757631182359
1512105,1.05188693216443,2.56304094357593,1.91403693081732,1.34566867433228
1512106,0.783715974277648,2.51716800297818,0.606571656054311,3.48419146864709
15121107,0.989844009651799,3.69866224504354,4.38087336842891,2.78807011480435
1512108,0.395416779019593,2.55643187954365,1.72508415441363,3.33564238757127
1512110,0.90013472154513,4.4261743574155,3.79794630057878,2.29605402618796
1512111,0.448062655616108,4.57866322558053,3.59518251307347,3.0510440754914
1512113,1.00624684335084,4.39251424721695,4.38145278109934,3.68996715945021
1512114,0.885503757763285,9.84692998775053,7.88399126511156,3.2863875192154
1512115,0.835496761071527,1.96519917476131,1.86407123774234,1.32803967212896
1512116,0.966614373133471,5.83360900159911,1.83357639414595,3.30300293236955
1512201,0.727740819222022,6.07226671488384,5.83401758910044,2.71413347755009
1512202,0.891196341082212,10.5056347974696,8.17450096154411,3.36785511879009
1512203,1.0122952416722,8.3825472105693,8.80571246616076,3.91346836964993
1512204,0.795102587418829,0.597299348090806,1.79367755968742,2.76657837385887
15121205,0.484426562161636,1.73160991648265,1.95332417092584,2.00767131680894
15121206,0.953804540917132,8.32442250370136,8.30024993969958,3.57187440320472
15121207,1.07561752475935,4.4707807088326,4.87146584503207,4.02120170606053
1512208,0.975119697046876,7.6170572367617,7.31815567046979,3.59332981779891
1512209,0.608534880115935,2.45908857057287,1.48175517165216,1.82602035935433
1512210,0.525295009833468,0.669164192820464,0.547441058074056,1.77786709959447
1512211,0.920494922951331,1.09211058485841,1.23830158524674,2.93319123452753
1512212,0.950244222571062,6.13309941427423,5.68042541896082,3.30109819408996
1512213,0.731676786832863,1.37399306722048,1.08980477787657,2.55137340902336
1512215,1.69369036290563,0.157834041837442,0.322651215380101,3.86850018362085
1512216,0.70952727350719,9.76709485902771,0.548280349933954,0.928507458473481
