"subjid","alpha","omega_a","omega_i","tau"
1512101,0.512906089203264,1.3134261114955,0.351586480659648,2.19689464373595
1512104,0.640451986717835,10.9522019740521,0.371906910577317,3.21219649516855
1512105,0.967718198891412,2.77713675717037,1.52045930100854,0.993470841450686
1512106,0.758569088839817,2.42599525363372,0.703017909179824,2.72182267249799
15121107,0.789508276443187,3.72931385491749,4.79769062972951,3.53310939670562
1512108,0.386576506917324,6.0710300765904,1.25562328764426,2.60990451578494
1512110,0.879039349547809,4.41724852387355,2.91169267396812,1.99991574166191
1512111,0.43880060803234,6.04627560509969,2.98203468238104,2.2846650019724
1512113,0.961422390768612,4.28599494254259,4.26874707857162,4.21721127179475
1512114,0.793709828084701,9.5070679992468,8.58409182089917,3.87962320652857
1512115,0.631703837971324,1.40123000415433,0.77734226906054,1.65477661070533
1512116,0.901023576361865,5.57346141846484,1.47135813207647,3.82395903016335
1512201,0.676771543925972,6.75298186633273,5.39332817090415,3.59870720875506
1512202,0.920292597152764,11.1031271075357,8.61165783813926,4.87874485286327
1512203,1.07125323416063,8.90583846821635,8.9019433273944,5.01330168899042
1512204,0.725504222562231,1.04740382231554,1.42956245750405,3.51077847346989
15121205,0.467610393614983,1.61989774650934,0.324721376058797,2.78987178904409
15121206,0.969593409855619,8.74452957106779,7.58382020023563,4.50437741685836
15121207,1.10451693967008,4.93551917430727,4.91875867419759,5.15161426547484
1512208,0.91624266928964,7.4741796766683,7.70672425000732,3.87611488252805
1512209,0.629616926638528,1.80253331327595,0.130761010137645,2.29080401332966
1512210,0.556461652439109,1.60928470827758,0.361400313818639,1.180720375519
1512211,0.707244110253515,0.638868827218958,0.599159230308013,4.23159021386079
1512212,0.921909347415933,5.40367883541705,6.15184611130793,3.8315763917908
1512213,0.624601998853123,0.481441985224272,0.431487312178463,4.02639652945276
1512215,1.72666319174004,0.192772799851686,0.136332589650095,4.91361204375284
1512216,0.715410461829855,8.75933120259573,0.526088118777802,1.66227910714129
