"subjid","alpha","omega_a","omega_i","tau"
1512101,0.540910811825356,1.52996511824484,0.909257307241914,1.55281255687718
1512104,0.725499334186969,10.5897101341355,0.600585415525394,2.1532863191997
1512105,0.713461941334351,2.78595687501485,1.11084282996246,1.57526544801806
1512106,1.00662550500563,2.96283650541459,0.533181920249907,2.0085508733494
15121107,0.952748341073812,3.57558580480977,4.66564059220452,2.09235267946629
1512108,0.397032291561335,2.42091312031454,1.49621538075422,3.23089153379791
1512110,0.866213232381127,4.04075380205136,3.3845643606509,2.26389299826494
1512111,0.569289455499303,7.49750350297568,4.64589742733332,1.78640823584475
1512113,1.06251180261001,4.48491915529152,4.47229314990697,3.50813937125953
1512114,1.01385183494368,9.65853352408114,8.77601221088598,3.65307597285946
1512115,0.679601528056801,1.37455732858147,1.97791880793608,1.14382486309511
1512116,0.988708004241482,5.52948417162275,1.53731718159571,3.27751349916068
1512201,0.690801424731165,5.78915028639233,5.92468353936457,2.01573373080308
1512202,1.00031207879462,11.1986394135876,8.75889758112734,4.00850263758345
1512203,1.20778255554138,9.11112824225084,9.10059486466803,4.09325209195353
1512204,0.994577282632509,1.52516919277046,2.63552634764955,1.681609907735
15121205,0.490140507755757,2.86422948759068,1.44588577761043,2.36421494460436
15121206,1.06980901045604,8.92646262548815,7.97684111860547,3.68610858938825
15121207,1.12707804553992,4.28101194557466,4.9465425133334,3.79053544851321
1512208,1.02305438997008,6.73519711107568,7.91300076841291,3.42782499732075
1512209,0.662532389258239,2.1626786286037,0.4198780154055,1.4181929219104
1512210,0.501895600850915,1.16603762217599,0.686824014297879,1.99482257189157
1512211,0.808499581011927,0.643693429188904,1.1892385854005,2.57071136328828
1512212,1.05367500489718,6.0066038746849,6.12289808710781,2.2857811523321
1512213,0.633242155372934,0.618639957467437,0.736676538585424,3.23895711159366
1512215,1.90280670465536,0.221287903385836,0.196406374896302,3.96367457034051
1512216,0.787518812202061,9.35204074837727,0.458830224210813,1.28261846991937
