"subjid","alpha","omega_a","omega_i","tau"
1512101,0.522998914529667,2.66111479286274,0.647222369055456,2.18634417132275
1512104,0.784001405358274,11.3731244388529,0.527092829545365,1.32524620649656
1512105,0.9060219883308,1.767008098435,2.32068154805426,1.20526209030982
1512106,0.688082827447934,1.98867729657765,0.483685138799712,3.49765757086671
15121107,0.960431144355079,3.29853100902969,5.21071980668485,4.01664808477187
1512108,0.400826256379454,1.86341809220334,1.85823308787541,3.30921891432238
1512110,0.769286099003197,3.84102275366861,2.37713099324483,1.98746554900944
1512111,0.449771316394111,5.69281592192068,3.17417016874986,3.57376349588953
1512113,1.05758834695597,4.39088642918102,4.83555675227957,4.57131966440959
1512114,0.970627208432371,9.39389422505959,8.70205559924325,4.32809581996689
1512115,0.755187214418543,1.36495474255512,2.06963296720608,1.2104951963127
1512116,0.935287343856229,5.652420267753,1.84079040310649,3.68473143373283
1512201,0.838967781521971,6.19591787688463,5.91734021319512,3.03519142585191
1512202,0.882581856002629,11.1660934873699,8.10890037607737,4.15792120616873
1512203,1.11699875052706,8.99774659868364,8.97973019618028,4.88479375895998
1512204,0.897598705569878,1.96038919221268,1.95865177332058,2.37923195297357
15121205,0.468800770765994,0.799756559711659,0.160812842916746,2.54508306559543
15121206,0.931413224569873,7.98969472170919,7.97632969720873,3.73567940389626
15121207,1.15760439922016,4.99927938346425,4.99843222308435,5.01693910610722
1512208,0.940619671216892,7.52919070637791,7.99398296504171,3.73775205300282
1512209,0.576484891601092,0.625239599509544,0.437463231966839,2.09206088270536
1512210,0.522871592525002,0.799205796309637,0.817436095065309,1.32751056907521
1512211,0.689008946498666,0.374449545138238,0.587160885464664,2.79583343658366
1512212,0.939394427605713,5.75663424809067,5.53953548443475,3.61359413442112
1512213,0.803269300375686,1.17061301355336,1.15353890496763,2.38249576516697
1512215,1.76819484886566,0.178039342085939,0.164796457103378,4.75650429376877
1512216,0.702354333857641,8.30524963872953,0.716100084632833,1.14145636964048
