"subjid","alpha","omega_a","omega_i","tau"
1512101,0.561412762019852,2.38726477185532,1.26059156931162,1.75578026839764
1512104,0.737633711920396,10.1331363347677,0.808141972160914,2.06424715983018
1512105,0.900765303260048,1.49468919392375,2.1136394035562,1.01029932657933
1512106,0.994475507833817,3.36465631759759,1.39467577020702,1.4407806537832
15121107,0.976233049921802,3.33732644352884,5.23255294527053,3.66034514120163
1512108,0.391743449199309,3.85944212377881,3.12490914077949,3.22984209032855
1512110,0.956150738084329,5.50727683299632,3.12756456169228,1.9063223732171
1512111,0.417738043682576,1.90487279092664,2.56881780725358,2.9705799207384
1512113,1.04875766687996,4.17454637422088,4.82824848563943,4.04662488525716
1512114,0.799752862554114,9.86236036311593,8.58821395708622,3.4500087019034
1512115,0.752718642658244,1.64516304290928,1.67826048259189,1.09977124489277
1512116,0.957662959710557,5.9228066583671,2.02040624318382,3.34893162714001
1512201,0.766313136937715,7.53163084990858,5.83866931680932,2.20844161278341
1512202,0.864598764053554,11.1168794323062,8.10490978324682,3.80361119146956
1512203,0.905677751752951,8.21621976113433,8.93933001901972,3.61823328689575
1512204,0.734253936224146,0.964073566834727,1.47667858711881,3.21955380691319
15121205,0.499930163317469,1.91478844964676,1.03481991277419,2.50430292262434
15121206,1.00467021405816,8.82965475795664,7.65110071746108,3.92733054257968
15121207,1.06831441082795,4.45394144178287,4.86354467511667,4.09680851946629
1512208,0.938991360460816,7.53397873040464,8.00626974667022,3.49148498948849
1512209,0.699668413429985,1.94732582751004,1.46228094956363,1.75537907862031
1512210,0.511605916535808,1.02594552558833,1.39708011486891,1.62686243502783
1512211,0.799241820529704,1.03108483451074,0.756714146290304,2.56212961368227
1512212,0.959016314335338,5.59395591637934,6.41922014070726,3.44270538878887
1512213,0.757222896183166,0.608579682008003,0.889215730944197,2.3276513208353
1512215,1.62988528001871,0.141779227053295,0.371956872722747,3.84979103541456
1512216,0.599597650441991,8.28697863039374,0.287411819068356,1.73502051020228
