"subjid","alpha","omega_a","omega_i","tau"
1512101,0.559878405583619,1.25670692682935,1.34646233701247,2.88622839492848
1512104,1.03122180542154,11.1658733304184,1.90394426119707,1.6113062942213
1512105,1.0179837311046,2.35581627782452,4.46865213088337,0.971202917894774
1512106,0.850296118968996,2.82897858489214,0.276907979612548,2.46223432896391
15121107,0.924222316872289,3.78788568701928,4.37842944962637,2.2007835692229
1512108,0.376107658511638,1.41015504800764,2.03948226180923,3.29938352907941
1512110,0.743429016727437,4.84139850230036,2.32066739184835,2.16831324766977
1512111,0.459801606409209,6.05121696576265,3.79258107391745,3.01363261950745
1512113,1.0700710222917,4.21734193442124,4.86637209183105,3.80628378203858
1512114,0.651196951260834,9.088078013955,7.80788129074379,2.91980005613026
1512115,0.616729767468155,1.05456202828946,0.673465816980023,2.23889217707177
1512116,0.950109258127486,5.44194302393415,1.67803311869963,3.2575368473408
1512201,0.74314379769329,6.14434595530512,6.62146849153009,1.99909973711641
1512202,0.95245549182663,11.2027082630063,8.68223475920804,3.98244489488623
1512203,0.76904870874923,8.12170527165297,8.49885543947106,3.23357282595314
1512204,0.784767323800768,0.877596994447179,1.90313285093734,3.34549489447296
15121205,0.464748671455715,0.741516956746829,0.458635381789189,2.07758065564289
15121206,1.01626051717293,8.85346303259158,7.89505310777178,3.68647408165381
15121207,1.18215173740446,5.05155636087447,5.03520241169253,4.20384521400607
1512208,1.03426979431517,7.74344806074177,7.98756320362945,2.42319100957593
1512209,0.606876022880327,1.73390222078463,0.614284026375224,1.47830244595764
1512210,0.51901982565105,1.40397278840652,0.801699644627914,1.45294905532783
1512211,0.765066131483016,0.40320194907315,0.904496905569608,2.07818576962738
1512212,0.940320641870448,5.41336333156265,5.26073858124071,3.30173786675967
1512213,0.808728378667447,1.74453929456011,1.06293532312633,2.63309413122248
1512215,1.49820883636552,0.22626887029489,0.149666900150283,3.38469242710542
1512216,0.724681966914089,8.45280603247263,0.403697159015133,1.5627466910991
