"subjid","alpha","omega_a","omega_i","tau"
1512101,0.59916080379473,1.55612755185834,1.18669099320212,1.53678006729476
1512104,0.702604514319299,10.1021591537768,0.819303882050347,3.65924824197767
1512105,0.766735937029194,0.794658123819793,2.37864301917929,1.33567874733615
1512106,1.07247487581967,3.030511251219,1.70154618534335,1.97626496561029
15121107,0.927595075879147,3.21563734109714,4.92145592674098,4.41974596418766
1512108,0.410588297978749,2.31863074018848,2.1655937518325,4.03800587405279
1512110,0.650747989076258,3.68332805416191,2.15772940559493,3.31908275852973
1512111,0.4750483549196,6.64654137887741,3.37899471746808,3.65702416710809
1512113,1.00903937773071,4.76113266218643,4.29067272384227,4.89537847619916
1512114,0.907214623126141,9.62437148997851,8.56919881889702,4.55993770179766
1512115,0.7164943343465,0.434220835034983,1.83482625140059,1.12189103380192
1512116,0.902325760070248,5.67783473968522,1.58185663010274,3.92134056634434
1512201,0.72715629796133,6.06815660296494,5.76098808194207,3.29745026869205
1512202,0.84009744113279,11.0607879785395,8.00226483542,4.49657276133153
1512203,0.951694813968281,8.22442280663055,8.68939242815492,4.73866667828288
1512204,0.652875555242838,0.861271081325745,0.392454748705441,4.07613889609154
15121205,0.452154365718392,0.48707969623128,1.06812139060147,3.33533454648193
15121206,1.06461526845427,8.93341340691203,8.25329290316621,2.72363343615097
15121207,1.07965929229449,4.88824650337314,4.8792143957795,5.38736343208841
1512208,0.870682132748444,6.63383887233467,7.7467661150362,2.44081764070209
1512209,0.63649265736401,2.80694425371657,0.413146179535181,1.20866093215791
1512210,0.494625488848321,1.76743489228187,0.440670468901994,1.66422412401359
1512211,0.723583280001988,0.561036938383608,0.936236830445651,4.24063816096522
1512212,0.746551643934012,5.10334610609618,5.23805861544478,3.40525133483412
1512213,0.708349083878331,1.10508948798536,1.10487938486639,3.66224855550453
1512215,1.71330572144212,0.177101137493662,0.180398335520883,5.16423765008313
1512216,0.69031238027065,6.86359389215572,0.561130764098633,1.18198254324082
