subjid,xd,xv,cond,val,aro,resp,fair,trial
1512105,5,7,1,7,5,2,8,79
1512105,6,6,1,6,4,1,9,80
1512106,2,10,2,2,8,3,2,1
1512106,1,11,1,3,6,3,2,2
1512106,1,11,2,3,5,3,2,3
1512106,0,12,2,3,5,8,1,4
1512106,1,11,1,3,6,8,1,5
1512106,6,6,1,8,1,1,9,6
1512106,5,7,2,4,5,5,4,7
1512106,6,6,2,9,1,1,9,8
1512106,2,10,2,3,6,7,2,9
1512106,5,7,2,4,6,4,4,10
1512106,6,6,2,9,1,1,9,11
1512106,0,12,1,1,9,9,1,12
1512106,5,7,1,4,5,4,4,13
1512106,2,10,1,3,6,6,2,14
1512106,5,7,1,4,6,5,4,15
1512106,5,7,2,4,6,5,4,16
1512106,0,12,1,1,9,9,1,17
1512106,0,12,2,1,9,9,1,18
1512106,0,12,1,1,9,9,1,19
1512106,5,7,2,4,6,5,4,20
1512106,6,6,2,9,1,1,9,21
1512106,0,12,2,1,9,9,1,22
1512106,1,11,2,1,9,9,1,23
1512106,1,11,2,1,9,9,1,24
1512106,5,7,2,4,6,5,4,25
1512106,6,6,2,9,1,1,9,26
1512106,6,6,1,9,1,1,9,27
1512106,2,10,1,2,8,6,2,28
1512106,6,6,2,9,1,1,9,29
1512106,6,6,1,9,1,1,9,30
1512106,5,7,1,9,6,4,4,31
1512106,0,12,2,1,9,1,1,32
1512106,6,6,1,9,1,1,9,33
1512106,2,10,1,2,8,9,2,34
1512106,6,6,1,9,1,1,9,35
1512106,1,11,1,2,8,9,1,36
1512106,0,12,1,1,9,9,1,37
1512106,2,10,2,1,9,9,2,38
1512106,5,7,1,5,5,5,4,39
1512106,5,7,1,5,5,5,4,40
1512106,5,7,1,5,5,5,4,41
1512106,1,11,1,1,9,9,1,42
1512106,6,6,2,9,1,1,9,43
1512106,1,11,2,1,9,9,1,44
1512106,0,12,2,1,9,9,1,45
1512106,1,11,1,1,9,9,1,46
1512106,2,10,2,1,9,9,2,47
1512106,0,12,1,1,9,9,1,48
1512106,6,6,1,9,1,1,9,49
1512106,1,11,2,1,9,9,1,50
1512106,5,7,1,4,6,4,4,51
1512106,0,12,2,1,9,9,1,52
1512106,5,7,2,1,6,4,4,53
1512106,6,6,2,9,1,1,9,54
1512106,2,10,1,1,8,9,1,55
1512106,0,12,1,1,9,9,1,56
1512106,1,11,1,1,9,9,1,57
1512106,6,6,1,9,1,1,9,58
1512106,0,12,2,1,9,9,1,59
1512106,0,12,1,1,9,9,1,60
1512106,6,6,2,9,1,1,9,61
1512106,5,7,1,4,6,4,4,62
1512106,2,10,2,1,9,9,2,63
1512106,5,7,2,4,6,4,4,64
1512106,6,6,1,9,1,1,9,65
1512106,6,6,1,9,1,1,9,66
1512106,0,12,2,1,9,9,1,67
1512106,5,7,2,4,6,4,4,68
1512106,2,10,1,1,9,9,2,69
1512106,2,10,2,1,9,9,2,70
1512106,6,6,2,9,1,1,9,71
1512106,5,7,1,4,6,4,4,72
1512106,5,7,1,4,6,4,4,73
1512106,5,7,2,4,6,4,4,74
1512106,6,6,2,9,1,1,9,75
1512106,2,10,1,1,9,9,2,76
1512106,5,7,2,4,6,4,4,77
1512106,0,12,1,1,9,9,1,78
1512106,1,11,2,1,9,9,1,79
1512106,6,6,1,9,1,1,9,80
1512107,6,6,2,5,1,1,9,1
1512107,1,11,2,2,6,9,1,2
1512107,5,7,2,5,5,1,7,3
1512107,5,7,1,4,5,1,7,4
1512107,0,12,2,1,7,1,1,5
1512107,6,6,2,7,1,1,9,6
1512107,1,11,1,4,5,1,1,7
1512107,6,6,1,8,2,1,9,8
1512107,2,10,2,2,6,9,2,9
1512107,1,11,1,3,6,8,2,10
1512107,1,11,2,3,7,8,2,11
1512107,0,12,1,1,8,9,1,12
1512107,0,12,2,1,8,9,1,13
1512107,2,10,1,3,5,9,1,14
1512107,0,12,2,1,8,9,1,15
1512107,6,6,2,9,1,1,9,16
1512107,5,7,1,5,1,2,7,17
1512107,5,7,2,5,1,2,7,18
1512107,6,6,1,9,1,1,9,19
1512107,0,12,1,1,9,9,1,20
1512107,5,7,1,5,4,2,7,21
1512107,1,11,1,3,7,9,1,22
1512107,5,7,2,6,2,1,7,23
1512107,0,12,1,1,8,9,1,24
1512107,2,10,2,2,8,7,1,25
1512107,6,6,2,9,1,1,9,26
1512107,0,12,2,1,8,9,1,27
1512107,2,10,2,2,8,7,2,28
1512107,6,6,1,9,1,1,9,29
1512107,1,11,2,3,8,9,2,30
1512107,5,7,2,6,4,1,7,31
1512107,6,6,2,9,1,1,9,32
1512107,2,10,1,2,7,9,1,33
1512107,5,7,2,6,1,1,7,34
1512107,2,10,1,2,7,8,1,35
1512107,6,6,1,9,1,1,9,36
1512107,0,12,1,2,7,9,1,37
1512107,5,7,1,5,4,1,7,38
1512107,5,7,1,5,4,1,7,39
1512107,6,6,1,9,1,1,9,40
1512107,6,6,1,9,1,1,9,41
1512107,2,10,2,2,7,7,1,42
1512107,1,11,1,2,7,8,1,43
1512107,5,7,1,5,4,1,7,44
1512107,5,7,2,5,4,1,7,45
1512107,1,11,1,2,7,9,1,46
1512107,1,11,2,1,7,9,1,47
1512107,6,6,2,9,1,1,9,48
1512107,5,7,2,5,4,1,7,49
1512107,0,12,2,2,7,9,1,50
1512107,5,7,1,2,7,1,7,51
1512107,6,6,2,9,1,1,7,52
1512107,6,6,1,9,1,1,7,53
1512107,2,10,2,1,7,8,1,54
1512107,5,7,2,5,4,1,7,55
1512107,0,12,1,1,9,9,1,56
1512107,0,12,2,1,9,9,1,57
1512107,2,10,1,2,7,8,2,58
1512107,0,12,1,1,9,9,1,59
1512107,6,6,1,9,1,1,9,60
1512107,5,7,2,5,4,1,7,61
1512107,0,12,1,1,9,9,1,62
1512107,0,12,2,1,9,9,1,63
1512107,6,6,2,9,1,1,9,64
1512107,5,7,1,5,4,1,7,65
1512107,1,11,2,1,9,9,2,66
1512107,2,10,1,2,7,9,2,67
1512107,6,6,1,9,1,1,9,68
1512107,1,11,2,1,9,9,1,69
1512107,6,6,1,9,1,1,9,70
1512107,2,10,1,9,9,8,2,71
1512107,0,12,2,1,9,9,1,72
1512107,2,10,2,2,7,8,1,73
1512107,5,7,1,5,4,1,8,74
1512107,5,7,2,5,4,1,8,75
1512107,6,6,2,9,1,1,9,76
1512107,1,11,1,2,7,8,1,77
1512107,6,6,2,9,1,1,9,78
1512107,5,7,1,5,4,1,9,79
1512107,0,12,1,1,9,1,9,80
1512108,1,11,2,1,9,7,2,1
1512108,6,6,2,9,2,1,9,2
1512108,5,7,2,7,5,6,6,3
1512108,1,11,1,2,5,3,3,4
1512108,6,6,2,8,4,1,9,5
1512108,5,7,1,7,1,2,5,6
1512108,0,12,2,3,5,8,1,7
1512108,6,6,1,9,6,1,9,8
1512108,2,10,2,4,7,5,4,9
1512108,1,11,2,2,7,7,3,10
1512108,0,12,2,1,7,7,2,11
1512108,5,7,1,6,3,6,5,12
1512108,1,11,1,3,4,6,3,13
1512108,6,6,1,7,4,1,9,14
1512108,0,12,2,3,5,8,1,15
1512108,5,7,1,4,6,7,6,16
1512108,2,10,2,3,7,6,3,17
1512108,0,12,1,2,7,7,1,18
1512108,2,10,1,3,7,6,1,19
1512108,6,6,1,7,3,1,9,20
1512108,0,12,1,2,7,7,1,21
1512108,6,6,2,7,2,1,9,22
1512108,5,7,2,5,4,4,7,23
1512108,1,11,1,3,4,4,1,24
1512108,5,7,2,4,4,6,7,25
1512108,6,6,2,6,4,1,9,26
1512108,6,6,1,6,5,1,9,27
1512108,0,12,1,3,4,7,1,28
1512108,5,7,2,4,5,7,5,29
1512108,5,7,1,4,5,6,6,30
1512108,2,10,1,3,5,6,3,31
1512108,0,12,2,4,5,6,3,32
1512108,2,10,1,4,5,7,2,33
1512108,2,10,2,5,5,7,1,34
1512108,0,12,1,5,5,7,1,35
1512108,1,11,2,3,6,7,1,36
1512108,5,7,1,6,4,6,5,37
1512108,6,6,2,4,6,1,9,38
1512108,6,6,1,7,3,1,9,39
1512108,5,7,2,4,5,6,5,40
1512108,5,7,2,4,3,6,5,41
1512108,6,6,1,5,2,1,9,42
1512108,2,10,2,3,1,7,1,43
1512108,1,11,1,3,2,7,1,44
1512108,1,11,2,4,3,7,2,45
1512108,5,7,1,5,3,7,2,46
1512108,5,7,1,5,3,4,6,47
1512108,1,11,1,3,3,7,2,48
1512108,0,12,1,3,3,7,4,49
1512108,6,6,1,3,5,1,9,50
1512108,0,12,2,3,6,7,1,51
1512108,2,10,2,3,6,7,3,52
1512108,0,12,2,2,6,8,1,53
1512108,6,6,2,5,5,1,9,54
1512108,2,10,1,3,3,7,3,55
1512108,5,7,2,5,3,6,5,56
1512108,6,6,1,6,3,1,9,57
1512108,0,12,1,3,3,6,1,58
1512108,0,12,1,3,3,7,1,59
1512108,0,12,2,4,4,8,2,60
1512108,6,6,2,4,6,1,9,61
1512108,1,11,2,2,6,7,1,62
1512108,5,7,1,5,2,6,5,63
1512108,6,6,1,5,1,1,9,64
1512108,5,7,2,5,1,5,5,65
1512108,2,10,1,3,2,6,3,66
1512108,6,6,1,5,1,1,9,67
1512108,1,11,2,3,2,7,1,68
1512108,5,7,2,3,3,6,5,69
1512108,5,7,1,5,1,6,5,70
1512108,2,10,1,3,3,7,3,71
1512108,6,6,2,5,2,1,9,72
1512108,1,11,1,3,3,6,3,73
1512108,0,12,1,3,3,7,2,74
1512108,5,7,2,3,3,6,3,75
1512108,6,6,2,4,5,1,9,76
1512108,0,12,2,3,4,7,1,77
1512108,2,10,2,2,6,8,1,78
1512108,5,7,1,6,4,5,6,79
1512108,6,6,2,5,4,1,9,80
1512110,1,11,2,2,7,8,2,1
1512110,1,11,1,3,7,7,4,2
1512110,0,12,2,1,9,9,1,3
1512110,2,10,2,3,6,7,3,4
1512110,1,11,1,2,8,7,2,5
1512110,5,7,1,4,5,3,5,6
1512110,6,6,2,9,2,1,9,7
1512110,5,7,2,6,4,1,8,8
1512110,1,11,2,2,7,7,4,9
1512110,6,6,2,9,1,1,9,10
1512110,6,6,2,9,2,1,9,11
1512110,0,12,1,1,8,7,3,12
1512110,6,6,1,9,1,1,9,13
1512110,2,10,1,2,8,6,4,14
1512110,5,7,1,5,5,1,8,15
1512110,5,7,2,5,6,2,7,16
1512110,0,12,1,1,9,1,8,17
1512110,0,12,2,1,9,1,1,18
1512110,1,11,1,2,8,7,3,19
1512110,5,7,2,5,4,4,7,20
1512110,6,6,2,9,2,1,9,21
1512110,0,12,2,1,9,9,1,22
1512110,2,10,2,1,8,8,2,23
1512110,0,12,2,1,8,9,1,24
1512110,5,7,2,5,4,7,4,25
1512110,6,6,2,9,1,1,9,26
1512110,6,6,1,9,1,1,9,27
1512110,0,12,1,1,9,8,1,28
1512110,5,7,2,5,6,4,7,29
1512110,5,7,1,5,5,3,8,30
1512110,6,6,1,9,1,1,9,31
1512110,2,10,2,2,7,6,2,32
1512110,6,6,1,9,1,1,9,33
